time,BatC1,BatC2
1565887226.933,455.93,458.25
1565887230.533,13.68,2.48
1565887236.533,889.54,876.36
1565887253.333,455.97,458.2
1565887258.1330001,13.65,2.25
1565887264.1330001,889.61,876.23
1565887279.733,455.9,458.21
1565887284.533,13.72,2.52
1565887290.533,889.67,876.46
1565887307.333,455.9,458.16
1565887310.933,13.68,2.56
1565887316.933,889.53,876.48
1565887333.733,455.97,458.25
1565887338.533,13.67,2.42
1565887344.533,889.61,876.48
1565887360.1330001,456.08,458.22
1565887364.933,13.65,2.51
1565887370.933,889.56,876.46
1565887386.533,455.89,458.16
1565887391.333,13.73,2.5
1565887397.333,889.71,876.42
1565887414.1330001,455.93,458.26
1565887418.933,13.72,2.43
1565887424.933,889.66,876.4
1565887440.533,455.91,458.23
1565887445.333,13.74,2.82
1565887451.333,889.67,876.02
1565887466.933,455.93,458.15
1565887471.733,13.71,2.04
1565887477.733,889.37,875.22
1565887494.533,455.94,458.2
1565887499.333,13.62,2.28
1565887505.333,889.4,875.51
1565887520.933,455.94,458.19
1565887525.733,13.56,2.13
1565887531.733,889.36,875.32
1565887547.333,455.94,458.15
1565887552.1330001,13.6,2.23
1565887558.1330001,889.3,875.38
1565887574.933,455.93,458.26
1565887578.533,13.59,2.07
1565887584.533,889.24,875.25
1565887601.333,455.93,458.19
1565887606.1330001,13.55,2.02
1565887612.1330001,889.16,875.05
1565887627.733,456.03,458.21
1565887632.533,13.58,2.1
1565887638.533,889.12,875.14
1565887655.333,455.88,458.22
1565887658.933,13.57,2.42
1565887664.933,889.28,875.66
1565887681.733,455.9,458.19
1565887686.533,13.53,1.93
1565887692.533,889.34,875.03
1565887708.1330001,456.07,458.2
1565887712.933,13.53,2.01
1565887718.933,889.3,875.18
1565887734.533,455.89,458.19
1565887739.333,13.58,2.29
1565887745.333,889.24,875.32
1565887762.1330001,455.95,458.22
1565887766.933,13.6,2.24
1565887772.933,889.3,875.97
1565887788.533,456.04,458.2
1565887793.333,13.52,2.22
1565887799.333,889.19,875.87
1565887814.933,455.91,458.18
1565887819.733,13.66,2.52
1565887825.733,889.46,876.24
1565887842.533,456.0,458.15
1565887847.333,13.64,2.31
1565887853.333,889.41,875.99
1565887868.933,455.9,458.19
1565887873.733,13.61,2.45
1565887879.733,889.37,876.14
1565887895.333,455.89,458.21
1565887900.1330001,13.6,2.3
1565887906.1330001,889.41,875.98
1565887922.933,455.96,458.19
1565887926.533,13.62,2.42
1565887932.533,889.37,876.17
1565887949.333,455.94,458.18
1565887954.1330001,13.71,2.26
1565887960.1330001,889.4,875.85
1565887975.733,455.95,458.25
1565887980.533,13.63,2.37
1565887986.533,889.35,876.05
1565888003.333,455.93,458.21
1565888006.933,13.63,2.33
1565888012.933,889.37,876.1
1565888029.733,455.9,458.25
1565888034.533,13.58,2.39
1565888040.533,889.31,876.12
1565888056.1330001,455.93,458.26
1565888060.933,13.66,2.46
1565888066.933,889.29,876.2
