time,C1M2Ctime,C2M2Ctime
1565890289.333,2.31404,2.331557
1565890304.933,2.327397,2.338794
1565890315.733,2.314006,2.331656
1565890332.533,2.327413,2.338767
1565890342.1330001,2.314032,2.331646
1565890358.933,2.327407,2.338746
1565890369.733,2.314033,2.331614
1565890385.333,2.327421,2.338702
1565890396.1330001,2.314021,2.331671
1565890411.733,2.327419,2.338762
1565890422.533,2.314001,2.331665
1565890439.333,2.327413,2.338662
1565890450.1330001,2.313992,2.331625
1565890465.733,2.327417,2.338705
1565890476.533,2.314015,2.331673
1565890492.1330001,2.327412,2.338713
1565890502.933,2.313987,2.331618
1565890519.733,2.327434,2.338742
1565890530.533,2.313978,2.331663
1565890546.1330001,2.327399,2.338685
1565890556.933,2.314007,2.331768
1565890572.533,2.327389,2.338729
1565890583.333,2.314,2.331698
1565890600.1330001,2.3274,2.338689
1565890609.733,2.314009,2.331667
1565890626.533,2.327402,2.338699
1565890637.333,2.314019,2.331657
1565890652.933,2.327419,2.338709
1565890663.733,2.313979,2.33165
1565890680.533,2.327412,2.338715
1565890690.1330001,2.314004,2.331706
1565890706.933,2.327395,2.338721
1565890717.733,2.314009,2.331732
1565890733.333,2.327393,2.338742
1565890744.1330001,2.314004,2.331614
1565890760.933,2.32741,2.338733
1565890770.533,2.313996,2.331654
1565890787.333,2.327414,2.338712
1565890798.1330001,2.314015,2.331586
1565890813.733,2.327414,2.338766
1565890824.533,2.313986,2.331569
1565890840.1330001,2.327434,2.338702
1565890850.933,2.314013,2.33161
1565890867.733,2.327437,2.338667
1565890878.533,2.313999,2.331592
1565890894.1330001,2.327389,2.338732
1565890904.933,2.314008,2.33165
1565890920.533,2.32741,2.338728
1565890931.333,2.313979,2.331633
1565890948.1330001,2.327392,2.338706
1565890958.933,2.314003,2.331662
1565890974.533,2.327404,2.338753
1565890985.333,2.313979,2.331632
1565891000.933,2.327416,2.338767
1565891011.733,2.314015,2.331645
1565891028.533,2.32741,2.338715
1565891038.1330001,2.313994,2.331679
1565891054.933,2.327402,2.338701
1565891065.733,2.313995,2.331673
1565891081.333,2.327432,2.338748
1565891092.1330001,2.313984,2.331688
1565891108.933,2.327414,2.338767
1565891118.533,2.314001,2.33173
1565891135.333,2.327402,2.338663
1565891146.1330001,2.314006,2.331549
1565891161.733,2.327417,2.338716
1565891172.533,2.313989,2.33169
1565891188.1330001,2.327418,2.338706
1565891198.933,2.314006,2.331546
1565891215.733,2.327421,2.338668
1565891226.533,2.314021,2.331698
1565891242.1330001,2.327403,2.338775
1565891252.933,2.31401,2.331573
1565891268.533,2.327398,2.338698
1565891279.333,2.314003,2.331706
1565891296.1330001,2.327414,2.338685
1565891306.933,2.31401,2.331505
1565891322.533,2.3274,2.338704
1565891333.333,2.314039,2.331653
1565891348.933,2.32741,2.338673
1565891359.733,2.31402,2.331741
1565891376.533,2.327414,2.338716
1565891386.1330001,2.313991,2.331604
1565891402.933,2.327404,2.338712
1565891413.733,2.314038,2.33161
1565891429.333,2.327406,2.338729
1565891440.1330001,2.313992,2.331748
1565891456.933,2.327404,2.33872
1565891466.533,2.313993,2.331743
1565891483.333,2.327416,2.338741
1565891494.1330001,2.313981,2.331628
1565891509.733,2.327412,2.338736
1565891520.533,2.314,2.331681
1565891537.333,2.327434,2.338734
1565891546.933,2.313998,2.33164
1565891563.733,2.327418,2.338759
1565891574.533,2.314006,2.331554
1565891590.1330001,2.32741,2.338708
1565891600.933,2.314004,2.331632
1565891616.533,2.327396,2.338707
1565891627.333,2.313989,2.331613
1565891644.1330001,2.327405,2.33876
1565891654.933,2.313996,2.331664
1565891670.533,2.3274,2.338679
1565891681.333,2.314022,2.331655
1565891696.933,2.327408,2.338756
1565891707.733,2.314017,2.331676
1565891724.533,2.327411,2.338641
1565891734.1330001,2.313994,2.331552
1565891750.933,2.327424,2.338736
1565891761.733,2.314021,2.331534
1565891777.333,2.327413,2.33875
1565891788.1330001,2.314034,2.331694
1565891804.933,2.327405,2.338758
1565891814.533,2.313987,2.331612
1565891831.333,2.32741,2.338661
1565891842.1330001,2.314016,2.331552
1565891857.733,2.327421,2.338714
1565891868.533,2.314016,2.331802
1565891885.333,2.327407,2.338716
1565891894.933,2.314011,2.331598
1565891911.733,2.327424,2.338678
1565891922.533,2.313993,2.331684
1565891938.1330001,2.32741,2.338719
1565891948.933,2.314008,2.33167
1565891964.533,2.327386,2.338743
1565891975.333,2.314008,2.33155
1565891992.1330001,2.327413,2.338762
1565892002.933,2.31401,2.331526
1565892018.533,2.327404,2.338774
1565892029.333,2.314016,2.331594
1565892044.933,2.327404,2.338729
1565892055.733,2.314015,2.331564
1565892072.533,2.32741,2.338719
1565892083.333,2.313993,2.331562
1565892098.933,2.32739,2.338725
1565892109.733,2.31399,2.331541
1565892125.333,2.327416,2.338709
1565892136.1330001,2.313982,2.331618
1565892152.933,2.327422,2.338669
1565892162.533,2.314013,2.331624
1565892179.333,2.327411,2.338704
1565892190.1330001,2.313987,2.331748
1565892205.733,2.327401,2.338727
1565892216.533,2.313994,2.33165
1565892233.333,2.327426,2.338739
1565892242.933,2.313997,2.331537
1565892259.733,2.32743,2.338723
1565892270.533,2.314034,2.331732
1565892286.1330001,2.327403,2.338711
1565892296.933,2.314027,2.331625
1565892312.533,2.327396,2.338729
1565892323.333,2.313996,2.33165
1565892340.1330001,2.327394,2.338728
1565892350.933,2.31399,2.331797
1565892366.533,2.32738,2.338697
1565892377.333,2.313995,2.331518
1565892392.933,2.327401,2.338716
1565892403.733,2.313981,2.331659
1565892420.533,2.327396,2.338763
1565892431.333,2.313965,2.331672
1565892446.933,2.327418,2.338691
1565892457.733,2.313982,2.331536
1565892473.333,2.327404,2.338729
1565892484.1330001,2.314029,2.331635
1565892500.933,2.327425,2.338662
1565892510.533,2.313982,2.331697
1565892527.333,2.32741,2.338675
1565892538.1330001,2.314035,2.331641
1565892553.733,2.327409,2.33873
1565892564.533,2.313989,2.331637
1565892581.333,2.327444,2.338679
1565892590.933,2.313998,2.331623
1565892607.733,2.32737,2.33873
1565892618.533,2.314021,2.331533
1565892634.1330001,2.327385,2.338691
1565892644.933,2.313988,2.3317
1565892661.733,2.327388,2.338697
1565892671.333,2.313985,2.331694
1565892688.1330001,2.327396,2.338742
1565892698.933,2.313988,2.331586
1565892714.533,2.327414,2.338709
1565892725.333,2.313961,2.331578
1565892740.933,2.327404,2.338715
1565892751.733,2.314002,2.331609
1565892768.533,2.32742,2.338722
1565892779.333,2.314001,2.331648
1565892794.933,2.32742,2.338713
1565892805.733,2.313981,2.331582
1565892821.333,2.327425,2.338729
1565892832.1330001,2.314004,2.331757
1565892848.933,2.327429,2.338739
1565892859.733,2.314027,2.331558
1565892875.333,2.327407,2.338745
1565892886.1330001,2.313995,2.331548
1565892901.733,2.327441,2.338729
1565892912.533,2.313999,2.331638
1565892929.333,2.327433,2.338737
1565892938.933,2.313966,2.331704
1565892955.733,2.327395,2.338717
1565892966.533,2.314029,2.331623
1565892982.1330001,2.327402,2.338703
1565892992.933,2.314003,2.331626
1565893009.733,2.327408,2.338701
1565893019.333,2.313997,2.331702
1565893036.1330001,2.327391,2.338742
1565893046.933,2.313995,2.331788
1565893062.533,2.327405,2.338706
1565893073.333,2.314008,2.331674
1565893088.933,2.327408,2.338701
1565893099.733,2.314004,2.331711
1565893116.533,2.327415,2.338691
1565893127.333,2.313988,2.331596
1565893142.933,2.32743,2.338717
1565893153.733,2.313986,2.331692
1565893169.333,2.327415,2.3387
1565893180.1330001,2.313969,2.331668
1565893196.933,2.327399,2.338739
1565893207.733,2.314009,2.331651
1565893223.333,2.327429,2.33867
1565893234.1330001,2.314017,2.331647
1565893249.733,2.327408,2.338682
1565893260.533,2.313997,2.331745
1565893277.333,2.327434,2.338736
1565893286.933,2.314002,2.331668
1565893303.733,2.32738,2.338774
1565893314.533,2.314014,2.331563
1565893330.1330001,2.327414,2.338694
1565893340.933,2.314014,2.331663
1565893357.733,2.327383,2.3387
1565893367.333,2.313981,2.331644
1565893384.1330001,2.327386,2.338706
1565893394.933,2.313986,2.331633
1565893410.533,2.327415,2.338757
1565893421.333,2.314027,2.331598
1565893438.1330001,2.327403,2.338704
1565893447.733,2.314013,2.331598
1565893464.533,2.327406,2.338723
1565893475.333,2.313986,2.331676
1565893490.933,2.327407,2.33873
1565893501.733,2.314027,2.331598
1565893517.333,2.327414,2.338721
1565893528.1330001,2.314005,2.33162
1565893544.933,2.327422,2.33874
1565893555.733,2.314001,2.331715
1565893571.333,2.327399,2.338693
1565893582.1330001,2.313981,2.331623
1565893597.733,2.327428,2.338717
1565893608.533,2.313983,2.331635
1565893625.333,2.327433,2.338743
1565893636.1330001,2.313971,2.331551
1565893651.733,2.327391,2.338752
1565893662.533,2.314019,2.331652
1565893678.1330001,2.327397,2.338618
1565893688.933,2.313995,2.331589
1565893705.733,2.327402,2.33871
1565893715.333,2.313985,2.331639
1565893732.1330001,2.327389,2.338752
1565893742.933,2.313996,2.33167
1565893758.533,2.327404,2.338708
1565893769.333,2.313977,2.331613
1565893786.1330001,2.327398,2.338713
1565893795.733,2.314001,2.331682
1565893812.533,2.327415,2.33873
1565893823.333,2.313991,2.331707
1565893838.933,2.327404,2.338727
1565893849.733,2.314013,2.331694
1565893865.333,2.327421,2.338739
1565893876.1330001,2.314004,2.331606
1565893892.933,2.327407,2.338699
1565893903.733,2.313999,2.331547
1565893919.333,2.327418,2.338672
1565893930.1330001,2.314012,2.331627
1565893945.733,2.327417,2.33877
1565893956.533,2.313987,2.331718
1565893973.333,2.327411,2.338722
1565893984.1330001,2.313994,2.331687
1565893999.733,2.32741,2.338746
1565894010.533,2.313992,2.331584
1565894026.1330001,2.327444,2.338696
1565894036.933,2.314012,2.331583
1565894053.733,2.32739,2.338702
1565894063.333,2.313992,2.331578
1565894080.1330001,2.327395,2.338675
1565894090.933,2.313978,2.331686
1565894106.533,2.327407,2.338693
1565894117.333,2.313974,2.331722
1565894134.1330001,2.327409,2.338714
1565894143.733,2.314019,2.331753
1565894160.533,2.327417,2.338763
1565894171.333,2.314002,2.331729
1565894186.933,2.327405,2.338721
1565894197.733,2.313994,2.331618
1565894214.533,2.32741,2.338738
1565894224.1330001,2.314027,2.33167
1565894240.933,2.327412,2.338694
1565894251.733,2.313998,2.331593
1565894267.333,2.327438,2.338692
1565894278.1330001,2.313973,2.331632
1565894293.733,2.32741,2.338726
1565894304.533,2.313975,2.331599
1565894321.333,2.327436,2.338707
1565894332.1330001,2.313985,2.33162
1565894347.733,2.327394,2.33873
1565894358.533,2.314004,2.331654
1565894374.1330001,2.327396,2.338754
1565894384.933,2.314031,2.331634
1565894401.733,2.327409,2.338743
1565894411.333,2.314012,2.331512
1565894428.1330001,2.327406,2.338707
1565894438.933,2.314005,2.331672
1565894454.533,2.327404,2.338743
1565894465.333,2.313992,2.33164
1565894482.1330001,2.327416,2.338727
1565894491.733,2.313984,2.331673
1565894508.533,2.327401,2.338726
1565894519.333,2.314009,2.33169
1565894534.933,2.327401,2.338743
1565894545.733,2.313996,2.331697
1565894562.533,2.327424,2.338754
1565894572.1330001,2.313995,2.331669
1565894588.933,2.32741,2.338668
1565894599.733,2.314002,2.331696
1565894615.333,2.327425,2.338766
